Sample description: DMPC_25_200
Sample: DMPC_25_200  c= 1 mg/ml  Code: DMPC_25_200_water
Parent(s): analysis/processed/subtracted/DMPC_25_200_water_0432_sub.dat
  1.452580e+00   9.825813e+01   2.006094e+00
  1.455340e+00   9.700056e+01   1.992887e+00
  1.458100e+00   9.884481e+01   1.993467e+00
  1.460850e+00   9.865249e+01   1.983612e+00
  1.463610e+00   9.845668e+01   1.987369e+00
  1.466370e+00   1.001716e+02   1.969460e+00
  1.469130e+00   9.844939e+01   1.970107e+00
  1.471890e+00   9.712588e+01   1.983372e+00
  1.474650e+00   9.787683e+01   1.957712e+00
  1.477410e+00   9.777222e+01   1.961984e+00
  1.480170e+00   9.709108e+01   1.944494e+00
  1.482930e+00   1.003152e+02   1.959691e+00
  1.485690e+00   9.455062e+01   1.955211e+00
  1.488450e+00   9.872004e+01   1.954180e+00
  1.491210e+00   9.777204e+01   1.961776e+00
  1.493970e+00   9.816163e+01   1.919540e+00
  1.496730e+00   9.728187e+01   1.960327e+00
  1.499480e+00   9.842937e+01   1.939534e+00
