Sample description: chromixs
Sample: chromixs  c= 0 mg/ml  Code: chromixs
  1.549080e+00   2.376376e+02   1.022214e+01
  1.551850e+00   2.072317e+02   1.023639e+01
  1.554610e+00   2.075331e+02   1.018116e+01
  1.557370e+00   1.971427e+02   1.026957e+01
  1.560140e+00   2.092736e+02   1.017109e+01
  1.562900e+00   2.129662e+02   1.020569e+01
  1.565670e+00   1.866480e+02   1.012226e+01
  1.568430e+00   1.908558e+02   1.014306e+01
  1.571190e+00   1.911658e+02   1.021032e+01
  1.573960e+00   1.968200e+02   1.009267e+01
  1.576720e+00   1.876283e+02   1.015790e+01
  1.579490e+00   1.892917e+02   1.011388e+01
  1.582250e+00   1.956273e+02   1.006825e+01
  1.585020e+00   1.872089e+02   1.013702e+01
  1.587780e+00   1.881674e+02   1.003261e+01
  1.590540e+00   1.867526e+02   1.012465e+01
  1.593310e+00   1.711046e+02   1.002675e+01
  1.596070e+00   1.748810e+02   1.006502e+01
  1.598840e+00   1.658116e+02   1.001599e+01
  1.601600e+00   1.688071e+02   9.991487e+00
  1.604370e+00   1.474047e+02   1.006564e+01
  1.607130e+00   1.554217e+02   9.962903e+00
